Results for: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Countries/Regions: Fiji,Kiribati,Other Oceania,Solomon Islands,Tonga,Vanuatu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concepts: Travel & Tourism Total Contribution to GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units: % share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date range: From 1988 - 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travel & Tourism Total Contribution to GDP,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% share,22.8,27.7,28.3,30.6,28,27.9,27.1,31.7,29.9,29.4,30.1,27.2,28.5,29.2,31.3,31.1,33.7,37.9,34.7,33.8,38.5,37.7,39.6,38.7,38.2,37.1,38.7,40,41.4,43.1,44.4,45.4,45.9,46.5,46.9,47.2,47.8
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% share,17.8,15.8,14.8,16.3,15.4,23.1,20.7,16.7,18.6,19,11.6,10.5,13,13.5,18.2,19.1,13.8,13.2,15.2,16.2,21.3,24.7,23,24.5,23.8,24.6,24.4,25.3,25.9,26.7,27.1,27,27,27.1,27,26.9,26.8
Other Oceania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% share,26.6,23.2,22.9,21.7,21.7,19.1,26.4,26.6,32.2,32.7,30.6,33,33.9,33.8,32.7,33.1,33,32.9,31.3,31.4,31.6,31.5,32,32,32.2,32.6,33,33.2,33.6,33.8,34.1,34.4,34.7,34.9,35.2,35.4,35.7
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% share,4,5.5,4.8,5.6,4,7.3,12.3,7.1,6.7,4.6,4.8,4.4,3.5,6.2,3.9,2.7,3.2,4.9,12.8,12.9,11.5,13.6,16,15.8,13.9,13.1,13.4,13.6,13.7,13.6,13.6,13.5,13.3,13.2,13.1,12.9,12.8
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% share,9.3,10.8,11.7,12.9,10.6,10.8,9.4,11,13.1,13.6,8.7,9.2,11,11.2,9.6,8,9.8,10.7,10.1,8.7,9,8.3,12,11.1,15.2,15.6,16.4,16.8,17.3,17.7,18.3,18.8,19.4,20.1,20.6,21.2,21.8
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% share,15.4,27.4,37.8,40.5,44.4,45.5,41.2,46.2,52.5,47.5,61.3,58.8,66.1,60.1,54.3,55.8,55.6,48.9,39.4,44.7,45.6,58.7,56.7,55.1,62.4,64.8,67.4,68.6,69.5,70.5,71.2,71.3,71.2,71.4,71.2,71,70.8
